t,phi,theta,psi
0,2.094024735,1.570796327,-3.063302427
0.099669695,2.094024735,1.570796327,-3.063302427
0.199321508,2.094024735,1.570796327,-3.063302427
0.298924685,2.094024735,1.570796327,-3.063302427
0.398591042,2.094024735,1.570796327,-3.063302427
0.498319864,2.094024735,1.570796327,-3.063302427
0.597841263,2.094024735,1.570796327,-3.063302427
0.697471857,2.094024735,1.570796327,-3.063302427
0.797114372,2.094024735,1.570796327,-3.063302427
0.896736145,2.094716269,1.570796327,-3.064027997
0.996484995,2.094716269,1.570796327,-3.064027997
1.096013308,2.094716269,1.570796327,-3.064027997
1.195664406,2.094716269,1.570796327,-3.064027997
1.295427561,2.094716269,1.570796327,-3.064027997
1.394928932,2.093295145,1.570796327,-3.064123223
1.494581699,2.093295145,1.570796327,-3.064123223
1.594202757,2.093295145,1.570796327,-3.064123223
1.693845034,2.093295145,1.570796327,-3.064123223
1.793554306,2.094716269,1.570796327,-3.064027997
1.893108606,2.094716269,1.570796327,-3.064027997
1.992774487,2.094716269,1.570796327,-3.064027997
2.092540503,2.094716269,1.570796327,-3.064027997
2.192044258,2.094716269,1.570796327,-3.064027997
2.291756868,2.094716269,1.570796327,-3.064027997
2.39132905,2.094716269,1.570796327,-3.064027997
2.490988731,2.094716269,1.570796327,-3.064027997
2.590662003,2.094716269,1.570796327,-3.064027997
2.690253258,2.094716269,1.570796327,-3.064027997
2.78990221,2.094716269,1.570796327,-3.064027997
2.889655113,2.094716269,1.570796327,-3.064027997
2.98920989,2.094716269,1.570796327,-3.064027997
3.088824987,2.094716269,1.570796327,-3.064027997
3.188452721,2.094716269,1.570796327,-3.064027997
3.288129091,2.094716269,1.570796327,-3.064027997
3.387801409,2.094716269,1.570796327,-3.064027997
3.487398863,2.094716269,1.570796327,-3.064027997
3.587054968,2.094716269,1.570796327,-3.064027997
3.686804533,2.094716269,1.570796327,-3.064027997
3.786347866,2.094716269,1.570796327,-3.064027997
3.886031389,2.094716269,1.570796327,-3.064027997
3.985800982,2.094716269,1.570796327,-3.064027997
4.085313559,2.094716269,1.570796327,-3.064027997
4.18495822,2.094716269,1.570796327,-3.064027997
4.284571886,2.094716269,1.570796327,-3.064027997
4.384206772,2.094716269,1.570796327,-3.064027997
4.483920336,2.094716269,1.570796327,-3.064027997
4.583472967,2.094716269,1.570796327,-3.064027997
4.683134317,2.094716269,1.570796327,-3.064027997
4.782912016,2.094716269,1.570796327,-3.064027997
4.882398844,2.094716269,1.570796327,-3.064027997
4.982028008,2.094716269,1.570796327,-3.064027997
5.081671715,2.094716269,1.570796327,-3.064027997
5.181316376,2.094716269,1.570796327,-3.064027997
5.281028032,2.094716269,1.570796327,-3.064027997
5.380591631,2.094716269,1.570796327,-3.064027997
5.480261803,2.094716269,1.570796327,-3.064027997
5.58002615,2.094716269,1.570796327,-3.064027997
5.679538727,2.094716269,1.570796327,-3.064027997
5.779219627,2.094716269,1.570796327,-3.064027997
5.878840685,2.094716269,1.570796327,-3.064027997
5.978471279,2.094716269,1.570796327,-3.064027997
6.078183413,2.094716269,1.570796327,-3.064027997
6.177760124,2.094716269,1.570796327,-3.064027997
6.277441025,2.094716269,1.570796327,-3.064027997
6.377170324,2.094716269,1.570796327,-3.064027997
6.476700783,2.094716269,1.570796327,-3.064027997
6.576342106,2.094716269,1.570796327,-3.064027997
6.676170826,2.094716269,1.570796327,-3.064027997
6.775631905,2.094716269,1.570796327,-3.064027997
6.875283957,2.094716269,1.570796327,-3.064027997
6.974918127,2.094716269,1.570796327,-3.064027997
7.074575901,2.094716269,1.570796327,-3.064027997
7.174289465,2.094716269,1.570796327,-3.064027997
7.273842812,2.094716269,1.570796327,-3.064027997
7.373532772,2.094716269,1.570796327,-3.064027997
7.473279715,2.094716269,1.570796327,-3.064027997
7.572792292,2.094716269,1.570796327,-3.064027997
7.672441959,2.094716269,1.570796327,-3.064027997
7.772070646,2.094716269,1.570796327,-3.064027997
7.871717691,2.094716269,1.570796327,-3.064027997
7.971407413,2.094716269,1.570796327,-3.064027997
8.071004868,2.094716269,1.570796327,-3.064027997
8.170641422,2.094716269,1.570796327,-3.064027997
8.270433426,2.094716269,1.570796327,-3.064027997
8.369935036,2.094716269,1.570796327,-3.064027997
8.469573975,2.094716269,1.570796327,-3.064027997
8.569196701,2.094716269,1.570796327,-3.064027997
8.668853045,2.094716269,1.570796327,-3.064027997
8.768554449,2.094716269,1.570796327,-3.064027997
8.868131161,2.094716269,1.570796327,-3.064027997
8.967803955,2.094716269,1.570796327,-3.064027997
9.067546844,2.094716269,1.570796327,-3.064027997
9.167091608,2.094716269,1.570796327,-3.064027997
9.266761541,2.094716269,1.570796327,-3.064027997
9.366546392,2.094716269,1.570796327,-3.064027997
9.466018677,2.094716269,1.570796327,-3.064027997
9.565660954,2.094716269,1.570796327,-3.064027997
9.665321112,2.094716269,1.570796327,-3.064027997
9.764934301,2.094716269,1.570796327,-3.064027997
9.864658356,2.095442565,1.570796327,-3.063206199
9.964235306,2.095442565,1.570796327,-3.063206199
10.06388736,2.094716269,1.570796327,-3.064027997
10.16365123,2.094716269,1.570796327,-3.064027997
10.26319122,2.094716269,1.570796327,-3.064027997
10.36284852,2.094716269,1.570796327,-3.064027997
10.46269155,2.094716269,1.570796327,-3.064027997
10.56215215,2.094716269,1.570796327,-3.064027997
10.66180062,2.094716269,1.570796327,-3.064027997
10.76142788,2.094716269,1.570796327,-3.064027997
10.86107922,2.094716269,1.570796327,-3.064027997
10.96080065,2.094716269,1.570796327,-3.064027997
11.06038117,2.094716269,1.570796327,-3.064027997
11.16003656,2.094716269,1.570796327,-3.064027997
11.2598114,2.094716269,1.570796327,-3.064027997
11.35932064,2.094716269,1.570796327,-3.064027997
11.4589889,2.094716269,1.570796327,-3.064027997
11.55861759,2.094716269,1.570796327,-3.064027997
11.65827084,2.094716269,1.570796327,-3.064027997
11.75797987,2.093997058,1.570796327,-3.0648499
11.85756063,2.094716269,1.570796327,-3.064027997
11.95724845,2.094716269,1.570796327,-3.064027997
12.05695152,2.094716269,1.570796327,-3.064027997
12.15654874,2.094716269,1.570796327,-3.064027997
12.25619578,2.094716269,1.570796327,-3.064027997
12.35595417,2.094716269,1.570796327,-3.064027997
12.45547724,2.094716269,1.570796327,-3.064027997
12.55515265,2.094716269,1.570796327,-3.064027997
12.65478992,2.094716269,1.570796327,-3.064027997
12.75444603,2.094716269,1.570796327,-3.064027997
12.85411286,2.094716269,1.570796327,-3.064027997
12.9537456,2.094716269,1.570796327,-3.064027997
13.05339408,2.094716269,1.570796327,-3.064027997
13.15310192,2.095442565,1.570796327,-3.063206199
13.25269389,2.095442565,1.570796327,-3.063206199
13.35236382,2.095442565,1.570796327,-3.063206199
13.45210314,2.095442565,1.570796327,-3.063206199
13.55164409,2.095442565,1.570796327,-3.063206199
13.65135002,2.095442565,1.570796327,-3.063206199
13.75094271,2.095442565,1.570796327,-3.063206199
13.85059881,2.095442565,1.570796327,-3.063206199
13.95024419,2.095442565,1.570796327,-3.063206199
14.04985619,2.095442565,1.570796327,-3.063206199
14.14953423,2.095442565,1.570796327,-3.063206199
14.2492528,2.095442565,1.570796327,-3.063206199
14.34882689,2.095442565,1.570796327,-3.063206199
14.44847798,2.095442565,1.570796327,-3.063206199
14.54825377,2.095442565,1.570796327,-3.063206199
14.64776683,2.095442565,1.570796327,-3.063206199
14.7474494,2.095442565,1.570796327,-3.063206199
14.84707546,2.095442565,1.570796327,-3.063206199
14.94672275,2.095442565,1.570796327,-3.063206199
15.04640889,2.095442565,1.570796327,-3.063206199
15.14601994,2.095442565,1.570796327,-3.063206199
15.24567199,2.095442565,1.570796327,-3.063206199
15.34541011,2.095442565,1.570796327,-3.063206199
15.44497752,2.095442565,1.570796327,-3.063206199
15.54464293,2.095442565,1.570796327,-3.063206199
15.64440513,2.094024735,1.570796327,-3.063302427
15.7439177,2.094024735,1.570796327,-3.063302427
15.84355855,2.093295145,1.570796327,-3.064123223
15.9432075,2.093295145,1.570796327,-3.064123223
16.042835,2.093295145,1.570796327,-3.064123223
16.14252377,2.093295145,1.570796327,-3.064123223
16.24214673,2.094024735,1.570796327,-3.063302427
16.34182358,2.093295145,1.570796327,-3.064123223
16.44156027,2.093295145,1.570796327,-3.064123223
16.54110909,2.093295145,1.570796327,-3.064123223
16.6407454,2.093295145,1.570796327,-3.064123223
16.74055743,2.093295145,1.570796327,-3.064123223
16.84002757,2.094024735,1.570796327,-3.063302427
16.93966556,2.094024735,1.570796327,-3.063302427
17.03931069,2.094024735,1.570796327,-3.063302427
17.13896561,2.094024735,1.570796327,-3.063302427
17.23867702,2.094024735,1.570796327,-3.063302427
17.33823395,2.093295145,1.570796327,-3.064123223
17.43790936,2.093295145,1.570796327,-3.064123223
17.53767085,2.093295145,1.570796327,-3.064123223
17.63717365,2.093295145,1.570796327,-3.064123223
17.73682332,2.093295145,1.570796327,-3.064123223
17.83648849,2.093295145,1.570796327,-3.064123223
17.93614292,2.093295145,1.570796327,-3.064123223
18.03583813,2.093295145,1.570796327,-3.064123223
18.13543725,2.093295145,1.570796327,-3.064123223
18.23508334,2.093295145,1.570796327,-3.064123223
18.33482122,2.093295145,1.570796327,-3.064123223
18.43437171,2.093295145,1.570796327,-3.064123223
18.53404069,2.093295145,1.570796327,-3.064123223
18.63381696,2.093295145,1.570796327,-3.064123223
18.73333001,2.093295145,1.570796327,-3.064123223
18.83303428,2.093295145,1.570796327,-3.064123223
18.9326241,2.093295145,1.570796327,-3.064123223
19.03228521,2.093295145,1.570796327,-3.064123223
19.13197374,2.094716269,1.570796327,-3.064027997
19.2315948,2.094716269,1.570796327,-3.064027997
19.33123398,2.094716269,1.570796327,-3.064027997
19.43096662,2.094716269,1.570796327,-3.064027997
19.53055167,2.094716269,1.570796327,-3.064027997
19.63022661,2.094716269,1.570796327,-3.064027997
19.72997117,2.093295145,1.570796327,-3.064123223
19.82949495,2.093295145,1.570796327,-3.064123223
19.92917776,2.093295145,1.570796327,-3.064123223
20.02878261,2.093295145,1.570796327,-3.064123223
20.1284306,2.093295145,1.570796327,-3.064123223
20.22809386,2.093295145,1.570796327,-3.064123223
20.32771802,2.093295145,1.570796327,-3.064123223
20.42736888,2.093295145,1.570796327,-3.064123223
20.52711868,2.093295145,1.570796327,-3.064123223
20.62665963,2.093295145,1.570796327,-3.064123223
20.7262969,2.093295145,1.570796327,-3.064123223
20.82611918,2.093295145,1.570796327,-3.064123223
20.92558885,2.093295145,1.570796327,-3.064123223
21.02527285,2.093295145,1.570796327,-3.064123223
21.12487507,2.093295145,1.570796327,-3.064123223
21.2245419,2.093295145,1.570796327,-3.064123223
21.32422757,2.093295145,1.570796327,-3.064123223
21.42382503,2.093295145,1.570796327,-3.064123223
21.52346396,2.093295145,1.570796327,-3.064123223
21.62322831,2.093295145,1.570796327,-3.064123223
21.72275805,2.093295145,1.570796327,-3.064123223
21.82240462,2.093295145,1.570796327,-3.064123223
21.92205095,2.093295145,1.570796327,-3.064123223
